patrol,contact_no,page,time,date,year,latitude,longitude,type,sunk,damaged
1,1,21,2250,7/6,1944,,,,False,False
1,2,21,0756,7/9,1944,28.416666666666668,151.76666666666668,,False,False
1,3,21,1207,7/12,1944,27.3,,Sampan,False,False
1,4,21,1237,7/12,1944,27.333333333333332,142.08333333333334,Sampan,False,False
1,5,21,0559,7/13,1944,27.383333333333333,142.08333333333334,,False,False
1,6,21,0639,7/16,1944,29.466666666666665,140.35,Sub,False,False
1,7,21,2032,7/16,1944,31.65,137.45,Sub,False,False
1,8,21,2110,7/16,1944,31.65,137.56666666666666,Sub,False,False
1,9,21,0404,7/17,1944,31.35,,,False,False
1,10,21,0116,7/18,1944,29.2,,AK,False,False
1,11,21,0528,7/18,1944,28.716666666666665,,,False,False
1,12,21,1942,7/20,1944,27.9,141.83333333333334,,False,False
1,13,21,1154,7/22,1944,28.533333333333335,141.83333333333334,,False,False
1,14,21,1340,7/26,1944,27.4,,Trawler,False,False
1,15,21,1506,7/26,1944,27.333333333333332,142.21666666666667,,False,False
1,16,21,1943,7/26,1944,27.433333333333334,142.13333333333333,,False,False
1,17,21,0445,8/5,1944,27.666666666666668,,,False,False
1,18,21,0550,8/13,1944,,142.46666666666667,Patrol,True,False
1,19,21,1800,18/13,1944,11.033333333333333,170.58333333333334,,False,False
1,20,21,0525,8/14,1944,8.533333333333333,,DD,False,False
2,1,20,0425,9/7,1944,,,,False,False
2,2,20,1206,9/7,1944,,,,False,False
2,3,20,0534,9/13,1944,11.283333333333333,170.53333333333333,DD,False,False
2,4,20,0928,9/13,1944,15.65,,,False,False
2,5,20,0310,9/20,1944,20.85,,,False,False
2,6,20,2055,9/20,1944,20.0,,Sub,False,False
2,7,20,2245,9/26,1944,15.65,,Sub,False,False
2,8,20,1216,10/10,1944,21.266666666666666,,DD,False,False
2,9,20,0612,10/13,1944,13.533333333333333,,,False,False
2,10,20,0600,10/15,1944,18.583333333333332,,,False,False
2,11,20,0722,10/16,1944,18.633333333333333,,DD,False,False
2,12,20,1223,10/16,1944,16.683333333333334,,DD,False,False
2,13,20,1704,10/22,1944,13.833333333333334,119.73333333333333,Sub,False,False
2,14,20,2045,10/22,1944,13.416666666666666,119.73333333333333,Sub,False,False
2,15,20,0154,10/23,1944,12.533333333333333,,Sub,False,False
2,16,20,0356,10/23,1944,12.0,,Sub,False,False
2,17,20,2045,10/24,1944,4.9,119.76666666666667,,False,False
2,18,20,2132,10/24,1944,4.666666666666667,119.76666666666667,,False,False
2,20,20,1125,10/25,1944,3.9166666666666665,118.11666666666666,,False,False
2,21,20,1308,10/25,1944,3.8833333333333333,118.1,,False,False
2,22,20,1420,10/25,1944,3.8166666666666664,118.1,,False,False
2,23,20,1634,10/26,1944,2.5833333333333335,,,False,False
2,24,20,1626,10/29,1944,2.5,,,False,False
2,25,20,2040,10/29,1944,4.283333333333333,,,False,False
4,1,24,0531,2/19,1945,19.85,,,False,False
4,2,24,1700,2/21,1945,19.85,113.35,,False,False
4,3,24,1818,2/21,1945,18.6,113.41666666666667,,False,False
4,4,24,0157,2/26,1945,8.5,115.63333333333334,,False,False
4,5,24,0205,2/26,1945,8.5,115.63333333333334,,False,False
4,6,24,0740,12/26,1945,6.933333333333334,114.78333333333333,,False,False
4,7,24,0820,12/26,1945,7.0,114.81666666666666,,False,False
4,5,24,1630,2/26,1945,6.116666666666666,114.1,,False,False
4,9,24,1650,2/26,1945,6.116666666666666,114.1,Patrol,False,False
4,10,24,0435,2/27,1945,8.116666666666667,115.66666666666667,Patrol,False,False
4,11,24,0540,2/27,1945,8.533333333333333,,Patrol,False,False
4,12,24,2143,13/13,1945,8.583333333333334,,Patrol,False,False
4,13,24,2211,3/13,1945,8.45,,Patrol,False,False
4,14,24,2350,3/13,1945,8.5,115.81666666666666,,False,False
4,15,24,0950,3/14,1945,5.833333333333333,,,False,False
4,17,24,1414,3/15,1945,4.116666666666666,,,False,False
4,16,24,0905,3/17,1945,0.7,110.91666666666667,Junk,False,False
