patrol,page,date,type,latitude,longitude,lat_raw,lon_raw,issues
1,7,July 14,Position,26.6667,140.9667,26-40N,140-58E,
1,23,,Contact,25.5667,148.5333,25-34N,148-32E,Multi-line
1,29,,Position,24.8667,141.3,24-52N,141-18E,
1,32,,Contact,27.3833,140.55,27-23N,140-33E,Multi-line
1,34,,Contact,29.2,139.1667,29-12N,139-10E,Multi-line
1,35,,Position,28.7167,139.4,28-43N,139-24E,
1,39,,Position,28.1,141.5333,28-06N,141-32E,
1,40,,Contact,27.15,142.55,27-09N,142-33E,Multi-line
1,41,,Position,28.4167,151.7667,28-25N,151-46E,
1,42,,Position,28.1667,141.5333,28-10N,141-32E,
2,20,,Contact,11.2833,170.5333,11-17N,170-32E,Multi-line
2,20,,Contact,12.7667,170.6,12-46N,170-36E,Multi-line
2,20,,Contact,-20.5667,120.5667,20-34S,120-34E,Multi-line
2,20,,Contact,13.8333,119.7333,13-50N,119-44E,Multi-line
2,20,,Contact,13.4167,119.7333,13-25N,119-44E,Multi-line
2,20,,Contact,4.6667,119.7667,04-40N,119-46E,Multi-line
2,20,,Contact,3.9167,118.1167,03-55N,118-07E,Multi-line
2,20,,Contact,3.8167,118.1,03-49N,118-06E,Multi-line
2,32,,Contact,18.5,120.5,18-30N,120-30E,Multi-line
2,32,,Contact,13.4333,120.5,13-26N,120-30E,Multi-line
2,32,,Contact,12.5,120.5,12-30N,120-30E,Multi-line
3,24,January 14,Position,5.85,103.2667,5-51N,103-16E,
4,3,,Noon,-28.8667,112.6833,28-52S,112-41E,
4,3,,Noon,-24.1,112.8333,24-06S,112-50E,
4,3,,Noon,-19.5333,113.1,19-32S,113-06E,
4,4,,Noon,-19.5333,113.1,19-32S,113-06E,
4,5,,Noon,-17.3833,114.3167,17-23S,114-19E,
4,5,,Noon,-11.9,115.15,11-54S,115-09E,
4,5,,Contact,-17.2667,114.3,17-16s,114-18E,Multi-line
4,6,,Noon,-11.9,115.15,11-54S,115-09E,
4,8,,Contact,-23.5833,112.75,23-35S,112-45E,Multi-line
4,9,,Noon,-28.6167,112.9,28-37S,112-54E,
4,9,,Noon,-23.65,112.5333,23-39S,112-32E,
4,9,,Noon,-11.1833,115.55,11-11s,115-33E,
4,10,,Noon,-5.6167,114.1333,05-37S,114-08E,
4,11,,Noon,-4.4333,110.6833,04-26S,110-41E,
4,11,,Noon,5.9,107.2833,05-54N,107-17E,
4,12,,Noon,5.7667,107.3333,05-46N,107-20E,
4,12,,Noon,11.025,108.89,11-01.5N,108-53.4E,
4,13,,Noon,10.9383,109.5383,10-56.3N,109-32.3E,
4,14,,Noon,11.0417,109.9533,11-02.5N,109-57.2E,
4,14,,Noon,11.3,109.7283,11-18N,109-43.7E,
4,14,,Noon,11.5283,109.1783,11-31.7N,109-10.7E,
4,14,,Noon,11.3,108.9967,11-18N,108-59.8E,
4,16,,Noon,11.7667,109.3433,11-46N,109-20.6E,
4,16,,Contact,11.4,109.5333,11-24N,109-32E,Multi-line
4,17,,Noon,11.9483,109.28,11-56.9N,109-16.8E,
4,18,,Noon,11.0217,109.585,11-01.3N,109-35.1E,
4,19,,Noon,10.9167,109.3433,10-55N,109-20.6E,
4,19,,Noon,11.4183,109.1,11-25.1N,109-06E,
4,19,,Noon,11.4433,109.2283,11-26.6N,109-13.7E,
4,21,,Noon,11.6383,109.2717,11-38.3N,109-16.3E,
4,22,,Noon,11.8,109.35,11-48N,109-21E,
4,22,,Noon,13.1833,112.1517,13-11N,112-09.1E,
4,22,,Noon,14.775,115.0633,14-46.5N,115-03.8E,
4,24,,Contact,-13.35,113.35,13-21S,113-21E,Multi-line
4,24,,Contact,-8.5,115.6333,08-30S,115-38E,Multi-line
4,24,,Contact,-8.5,115.8167,08-30S,115-49E,Multi-line
4,24,,Contact,0.7,110.9167,00-42N,110-55E,Multi-line
4,24,,Contact,11.4667,110.9167,11-28N,110-55E,Multi-line
4,24,,Contact,11.1667,109.2,11-10N,109-12E,Multi-line
4,24,,Contact,11.3167,109.2,11-19N,109-12E,Multi-line
4,25,,Contact,11.8833,109.4,11-53N,109-24E,Multi-line
4,25,,Contact,11.3167,109.4,11-19N,109-24E,Multi-line
4,28,March 19,Position,11.8317,109.3567,11-49.9N,109-21.4E,
4,29,February 19,Position,-6.1167,114.1,06-07s,114-06E,
4,34,,Contact,-0.9,108.0167,00-54S,108-01E,Multi-line
4,34,,Contact,0.4833,107.9667,00-29N,107-58E,Multi-line
4,34,,Contact,1.6167,107.7833,01-37N,107-47E,Multi-line
4,34,,Contact,2.0167,107.6667,02-01N,107-40E,Multi-line
4,34,,Contact,2.4333,107.5667,02-26N,107-34E,Multi-line
4,34,,Contact,2.8167,107.4833,02-49N,107-29E,Multi-line
4,34,,Contact,3.0333,107.4167,03-02N,107-25E,Multi-line
4,34,,Contact,3.7667,107.3333,03-46N,107-20E,Multi-line
4,34,,Contact,4.1,107.3333,04-06N,107-20E,Multi-line
4,35,,Contact,4.9833,107.3167,04-59N,107-19E,Multi-line
4,35,,Contact,5.7667,107.35,05-46N,107-21E,Multi-line
4,35,,Contact,7.7167,107.5167,07-43N,107-31E,Multi-line
4,35,,Contact,9.2833,109.3333,09-17N,109-20E,Multi-line
4,35,,Contact,10.2,109.7833,10-12N,109-47E,Multi-line
4,35,,Contact,10.6667,109.2333,10-40N,109-14E,Multi-line
4,35,,Contact,11.4667,109.6,11-28N,109-36E,Multi-line
5,3,May 10,Noon,14.8,115.3,14-48N,115-18E,
5,3,May 11,Noon,11.8667,112.0333,11-52N,112-02E,
5,3,May 12,Noon,8.9333,108.4833,8-56N,108-29E,
5,4,May 13,Noon,7.4667,104.4167,7-28N,104-25E,
5,4,May 14,Noon,9.7333,103.9833,9-44N,103-59E,
5,7,May 15,Noon,9.45,101.5333,9-27N,101-32E,
5,9,May 16,Noon,6.8833,101.95,6-53N,101-57E,
5,10,May 17,Noon,8.75,100.9167,8-45N,100-55E,
5,10,May 20,Noon,9.3167,103.4833,9-19N,103-29E,
5,10,May 20,Contact,9.5333,108.3167,9-32N,108-19E,Multi-line
5,11,May 22,Position,11.6333,100.1167,11-38N,100-07E,
5,11,May 24,Noon,10.0833,101.1667,10-05N,101-10E,
5,11,May 25,Noon,8.2,102.8167,8-12N,102-49E,
5,12,May 27,Noon,9.6833,102.35,9-41N,102-21E,
5,12,May 28,Noon,8.9,101.4,8-54N,101-24E,
5,12,May 28,Contact,8.35,102.25,8-21N,102-15E,Multi-line
5,13,May 29,Position,10.8,102.9833,10-48N,102-59E,
5,14,May 31,Noon,7.9667,101.05,7-58N,101-03E,
5,14,June 1,Contact,7.9,101.1,7-54N,101-06E,Multi-line
5,15,June 2,Noon,9.7167,102.5167,9-43N,102-31E,
5,15,June 2,Contact,8.0833,100.9833,8-05N,100-59E,Multi-line
5,15,June 2,Contact,9.6833,103.2,9-41N,103-12E,Multi-line
5,16,June 5,Noon,8.9167,103.0833,8-55N,103-05E,
5,16,June 6,Noon,7.9667,105.0,7-58N,105-00E,
5,16,June 6,Contact,9.2333,102.8,9-14N,102-48E,Multi-line
5,17,June 8,Noon,7.0833,105.65,7-05N,105-39E,
5,19,,Noon,1.9833,107.0833,1-59N,107-05E,
5,19,,Noon,-2.6,109.2667,02-36S,109-16E,
5,19,June 11,Noon,-5.4333,112.4,5-26S,112-24E,
5,22,June 16,Noon,-25.1833,112.3667,25-11S,112-22E,
5,22,June 17,Noon,-29.9167,113.45,29-55S,113-27E,
5,24,,Contact,10.0333,110.2167,10-02N,110-13E,Multi-line
5,24,,Contact,9.5,101.4667,09-30N,101-28E,Multi-line
5,24,,Contact,9.3,101.6833,09-18N,101-41E,Multi-line
5,24,,Contact,7.9,101.0833,07-54N,101-05E,Multi-line
5,24,,Contact,8.0833,101.0833,08-05N,101-05E,Multi-line
5,24,,Contact,8.0667,100.9167,08-04N,100-55E,Multi-line
5,24,,Contact,7.8333,101.05,07-50N,101-03E,Multi-line
5,26,May 14,Position,9.5833,101.7333,09-35N,101-44E,
5,27,May 14,Position,9.5833,101.7333,09-35N,101-44E,
5,28,June 8,Contact,8.9333,105.6167,8-56N,105-37E,Multi-line
5,29,June 8,Position,8.9333,105.6167,8-56N,105-37E,
5,30,June 6,Position,8.9333,105.6167,8-56N,105-37E,
5,31,June 8,Position,8.9333,105.6167,8-56N,105-37E,
5,33,June 8,Position,8.9333,105.6167,8-56N,105-37E,
5,34,May 14,Contact,8.9333,105.6167,8-56N,105-37E,Multi-line
6,4,July 17,Position,-30.0917,112.7333,30-05.5S,112-44E,
6,4,July 20,Position,-25.325,111.4583,25-19.5S,111-27.5E,
6,4,July 21,Position,-20.5533,112.6633,20-33.2S,112-39.8E,
6,5,July 22,Position,-16.2533,114.12,16-15.2S,114-07.2E,
6,6,July 24,Position,-8.6,112.3967,08-36S,112-23.8E,
6,6,July 25,Position,-8.4,107.075,08-24.0S,107-04.5E,
6,7,July 26,Position,-6.4283,105.615,06-25.7S,105-36.9E,
6,7,July 27,Position,-5.5083,106.2,05-30.5S,106-12E,
6,8,July 28,Position,-3.95,108.7167,03-57S,108-43E,
6,8,July 29,Position,0.6317,107.4033,00-37.9N,107-24.2E,
6,8,July 30,Position,4.9833,107.48,04-59N,107-28.8E,
6,9,July 31,Position,7.1867,106.3533,07-11.2N,106-21.2E,
6,9,August 1,Position,8.2067,103.4133,08-12.4N,103-24.8E,
6,10,August 2,Position,6.43,105.3167,06-25.8N,105-19E,
6,10,August 3,Position,9.8333,110.37,09-50.0N,110-22.2E,
6,10,August 4,Position,13.7667,115.0167,13-46.0N,115-01.0E,
6,11,August 7,Position,17.1333,118.33,17-08N,118-19.8E,
6,12,August 8,Position,21.5033,119.8417,21-30.2N,119-50.5E,
6,12,August 9,Position,21.9933,120.66,21-59.6N,120-39.6E,
6,13,August 10,Position,21.8633,119.2033,21-51.8N,119-12.2E,
6,14,August 11,Position,22.825,119.98,22-49.5N,119-58.8E,
6,15,August 12,Position,21.45,126.3117,21-27N,126-18.7E,
6,15,August 13,Position,21.9167,120.2667,21-55N,120-16E,
6,17,August 15,Position,22.0417,120.0,22-02.5N,120-00E,
6,17,August 16,Position,20.7333,122.36,20-44N,122-21.6E,
6,18,August 17,Position,23.1017,121.9217,23-06.1N,121-55.3E,
6,18,August 18,Position,23.23,125.4883,23-13.8N,125-29.3E,
6,18,August 19,Position,19.925,130.12,19-55.5N,130-07.2E,
6,18,August 20,Position,16.915,135.8867,16-54.9N,135-53.2E,
6,18,August 21,Position,14.27,141.17,14-16.2N,141-10.2E,
6,21,August 1,Position,-8.5,110.5,08-30S,110-30E,
6,21,August 1,Contact,-9.0833,115.0,09-05S,115-00E,Multi-line
