patrol,page,date,type,latitude,longitude,lat_raw,lon_raw,issues
1,29,,Position,24.8667,141.3,24-52N,141-18E,
1,35,,Contact,28.7167,139.4,28-43N,139-24E,
1,39,,Position,28.1,141.5333,28-06N,141-32E,
1,41,,Position,28.4167,151.7667,28-25N,151-46E,
1,42,,Position,28.1667,141.5333,28-10N,141-32E,
3,24,"January 14, 1945",Position,5.85,103.2667,5-51N,103-16E,
4,3,,Noon,-28.8667,112.6833,28-52S,112-41E,
4,3,,Noon,-24.1,112.8333,24-06S,112-50E,
4,3,,Noon,-19.5333,113.1,19-32S,113-06E,
4,4,,Noon,-19.5333,113.1,19-32S,113-06E,
4,5,,Noon,-17.3833,114.3167,17-23S,114-19E,
4,5,,Noon,-117.2667,114.3,117-16s,114-18E,Lat -117.2667 too extreme
4,5,,Noon,-11.9,115.15,11-54S,115-09E,
4,6,,Noon,-11.9,115.15,11-54S,115-09E,
4,8,4 March,Contact,-23.5833,113.4,23-35S,113-24E,
4,9,,Noon,-28.6167,112.9,28-37S,112-54E,
4,9,,Noon,-23.65,112.5333,23-39S,112-32E,
4,9,,Noon,-11.1833,115.55,11-11s,115-33E,
4,10,,Noon,-5.6167,114.1333,05-37S,114-08E,
4,11,,Noon,-4.4333,110.6833,04-26S,110-41E,
4,11,,Noon,5.9,107.2833,05-54N,107-17E,
4,12,,Noon,5.7667,107.3333,05-46N,107-20E,
4,22,,Noon,11.8,109.35,11-48N,109-21E,
4,29,February 19,Position,-6.1167,114.1,06-07s,114-06E,
5,3,"May 10, 1945",Noon,14.8,115.3,14-48N,115-18E,
5,3,"May 11, 1945",Noon,11.8667,112.0333,11-52N,112-02E,
5,3,"May 12, 1945",Noon,8.9333,108.4833,8-56N,108-29E,
5,4,"May 13, 1945",Noon,7.4667,104.4167,7-28N,104-25E,
5,4,"May 14, 1945",Noon,9.7333,103.9833,9-44N,103-59E,
5,7,"May 15, 1945",Noon,9.45,101.5333,9-27N,101-32E,
5,9,"May 16, 1945",Noon,6.8833,101.95,6-53N,101-57E,
5,10,"May 17, 1945",Noon,8.75,100.9167,8-45N,100-55E,
5,10,"May 18, 1945",Noon,10.5333,99.6333,10-32N,99-38E,
5,10,"May 20, 1945",Noon,9.3167,103.4833,9-19N,103-29E,
5,11,"May 24, 1945",Noon,10.0833,101.1667,10-05N,101-10E,
5,11,"May 25, 1945",Noon,8.2,102.8167,8-12N,102-49E,
5,11,"May 25, 1945",Contact,11.3667,102.4667,11-22N,102-28E,
5,12,"May 27, 1945",Noon,9.6833,102.35,9-41N,102-21E,
5,12,"May 28, 1945",Noon,8.9,101.4,8-54N,101-24E,
5,13,"May 29, 1945",Position,10.8,102.9833,10-48N,102-59E,
5,14,"May 31, 1945",Noon,7.9667,101.05,7-58N,101-03E,
5,15,"June 2, 1945",Noon,9.7167,102.5167,9-43N,102-31E,
5,16,"June 5, 1945",Noon,8.9167,103.0833,8-55N,103-05E,
5,16,"June 6, 1945",Noon,7.9667,105.0,7-58N,105-00E,
5,19,,Noon,-2.6,109.2667,02-36S,109-16E,
5,19,"June 11, 1945",Noon,-5.4333,112.4,5-26S,112-24E,
5,19,"June 11, 1945",Contact,1.9833,107.0833,1-59N,107-05E,
5,22,"June 16, 1945",Noon,-25.1833,112.3667,25-11S,112-22E,
5,22,"June 17, 1945",Noon,-29.9167,113.45,29-55S,113-27E,
5,26,"May 14, 1945",Position,9.5833,101.7333,09-35N,101-44E,
5,27,"May 14, 1945",Position,9.5833,101.7333,09-35N,101-44E,
5,29,"June 8, 1945",Position,8.9333,105.6167,8-56N,105-37E,
5,30,"June 6, 1945",Position,8.9333,105.6167,8-56N,105-37E,
5,31,"June 8, 1945",Position,8.9333,105.6167,8-56N,105-37E,
5,33,"June 8, 1945",Position,8.9333,105.6167,8-56N,105-37E,
